Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,CTX,Error low: CTX,Error high: CTX,Unnamed: 4,BSAP,Error low: BSAP,Error high: BSAP,Medication: Denosumab (mg)
9125,1.0,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,
22995,0.861151832460733,0.861151832460733,0.861151832460733,1.0,1.0,1.0,,1.0,1.0,1.0,60.0
23007,,,,0.19191564150000007,0.15817223199999997,0.22565905099999994,,,,,
23025,0.8716763396019266,0.8691541191904503,0.8741985600134031,,,,,0.95619960624,0.91945068629,0.99294852619,
23028,,,,0.12653778560000006,0.10755711779999999,0.14551845340000003,,,,,
23054,,,,0.14973637960000008,0.11810193319999995,0.18137082599999987,,,,,
23085,0.879274760761801,0.8762048233712252,0.8823446981609885,,,,,,,,
23086,,,,0.14551845340000003,0.12442882249999998,0.16660808439999997,,0.4469991582,0.40374696509999997,0.4902513514,
23118,,,,0.16028119509999994,0.1328646749000001,0.1876977153,,,,,
23150,,,,0.22355008789999997,0.20667838309999997,0.24042179259999996,,,,,
23175,,,,,,,,,,,60.0
23177,0.8833852611778346,0.8808650257643896,0.8859054965912797,,,,,,,,
23178,,,,,,,,0.43456863990000005,0.3502598387,0.518877441,
23179,,,,0.25940246050000004,0.23409490329999993,0.2847100175999999,,,,,
23209,,,,0.17293497359999999,0.16239015820000002,0.18347978909999996,,,,,
23239,,,,0.15817223199999997,0.12653778560000006,0.18980667839999998,,,,,
23268,,,,0.18347978909999996,0.1708260104999999,0.1961335677,,,,,
23270,,,,,,,,0.34212031190000003,0.31404520570000005,0.3701954182,
23299,,,,0.18347978909999996,0.15817223199999997,0.20878734620000006,,,,,
23330,,,,0.21722319859999994,0.18980667839999998,0.24463971880000002,,,,,
23359,,,,,,,,0.3686342987,0.35134510899999993,0.3859234884,
23360,0.8921536954289256,0.8890851758903958,0.8952222149674555,,,,,,,,
23362,,,,0.36485061510000005,0.35008787350000004,0.37961335679999997,,,,,
