Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,CTX,Error low: CTX,Error high: CTX,Unnamed: 4,BSAP,Error low: BSAP,Error high: BSAP,Medication: Denosumab (mg)
9125,1.0,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,
22995,0.861151832460733,0.861151832460733,0.861151832460733,1.0,1.0,1.0,,1.0,1.0,1.0,100.0
23007,,,,0.1961335677,0.1876977153,0.20456942,,,,,
23024,,,,,,,,0.99297357089,0.94539699324,1.04055014853,
23025,,,,0.1307557118,0.10966608079999995,0.15184534270000005,,,,,
23027,0.8664166685524776,0.8649924342518283,0.8678409028531269,,,,,,,,
23056,,,,0.1328646749000001,0.12231985940000001,0.14340949030000005,,,,,
23085,0.8747811562079498,0.8720408698572732,0.8775214425586263,,,,,0.5075572376,0.4751410503,0.5399734248,
23086,,,,0.1476274165,0.12442882249999998,0.1708260104999999,,,,,
23116,,,,0.15817223199999997,0.1391915641,0.17715289979999993,,,,,
23147,,,,0.21722319859999994,0.20667838309999997,0.22776801410000003,,,,,
23175,,,,,,,,,,,100.0
23176,,,,,,,,0.38270107070000003,0.3416110698,0.42379107159999996,
23178,0.8798783411941865,0.8775770224346137,0.8821796599537592,0.2783831283000001,0.24885764500000007,0.30790861160000005,,,,,
23208,,,,0.16871704750000005,0.15817223199999997,0.1792618629,,,,,
23239,,,,0.16871704750000005,0.15184534270000005,0.18558875220000004,,,,,
23269,,,,0.17293497359999999,0.1391915641,0.20667838309999997,,0.30320919979999994,0.27293016010000004,0.33348823940000005,
23299,,,,0.1708260104999999,0.14340949030000005,0.1982425308000001,,,,,
23330,,,,0.1961335677,0.17504393669999996,0.21722319859999994,,,,,
23361,0.8833859701038577,0.8805375015025592,0.8862344387137676,0.2931458698999999,0.2847100175999999,0.3015817223,,0.33400582979999993,0.2994191021,0.3685925576,
