Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Denosumab (mg)
9125,1.0,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,
21900,0.882198952879581,0.882198952879581,0.882198952879581,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21930,0.8817658958904973,0.8789943311568323,0.8847354295362303,0.95836909871,0.8686695279,1.07639484979,0.95471698113,0.8071278826,1.1299790356,
22082,0.8782024555173821,0.8754308907837172,0.8813699580751831,0.8497854077,0.6751072961,1.0339055794,0.95471698113,0.742557652,1.3144654088,
22204,,,,0.8497854077,0.6939914163,1.02918454936,0.8532494759,0.6134171907999999,1.2083857442000001,
22265,0.8786973777931413,0.8761237819715444,0.8817658958904973,0.8922746780999999,0.6703862661,1.1141630901,0.9178197065,0.6549266247000001,1.1899371069,
22325,,,,0.8686695279,0.6987124464000001,1.1424892704,0.8993710692,0.6733752621,1.2498951782,
22447,,,,0.92060085837,0.7553648069000001,1.1424892704,0.98238993711,0.7610062893,1.3974842767,
22630,0.8705806525042146,0.8673141654947905,0.8742430773289528,0.94420600858,0.6987124464000001,1.1991416309,0.90398322851,0.7333333333000001,1.2498951782,
22721,,,,0.92060085837,0.7223175966,1.1472103004,0.98238993711,0.7517819706,1.4943396226,
22812,0.8674131499552354,0.8631568184031151,0.871867450419424,0.8875536481,0.6609442059999999,1.1236051502,0.99161425577,0.75639413,1.3790356394,
22995,0.8681060411342407,0.8634537717668062,0.8729562794137433,0.8875536481,0.6515021459,1.1519313305,0.92243186583,0.6779874214,1.2821802935,
23177,0.8655324453126438,0.8603852536694502,0.8714715125952879,1.0008583691,0.7128755365,1.3266094421,0.93165618449,0.6226415094,1.1991614256,
23360,0.8638497095821203,0.8583065801147906,0.8700857302284554,0.8969957082,0.6798283262,1.09527896996,0.75639413,0.5396226415,1.05157232704,
