Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,CTX,Error low: CTX,Error high: CTX,Unnamed: 4,BSAP,Error low: BSAP,Error high: BSAP,Medication: Denosumab (mg)
9125,1.0,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,
22995,0.861151832460733,0.861151832460733,0.861151832460733,1.0,1.0,1.0,,1.0,1.0,1.0,210.0
23009,,,,0.16871704750000005,0.14973637960000008,0.1876977153,,,,,
23023,0.8659759995406409,0.8642206963394345,0.8677313027418472,,,,,,,,
23024,,,,,,,,0.8999909561,0.8351251887,0.96485672346,
23025,,,,0.12021089630000004,0.10123022849999996,0.1391915641,,,,,
23056,,,,0.1307557118,0.10544815470000002,0.1560632689000001,,,,,
23084,,,,0.12442882249999998,0.09701230229999991,0.15184534270000005,,0.4491947434,0.40378870619999996,0.4946007806,
23086,0.8744529230114848,0.872369953759799,0.8765358922717823,,,,,,,,
23117,,,,0.14340949030000005,0.12231985940000001,0.1644991213,,,,,
23147,,,,0.16028119509999994,0.13497363799999984,0.18558875220000004,,,,,
23175,,,,,,,,,,,210.0
23177,,,,,,,,0.3891709509,0.3502180976,0.42812380429999997,
23178,0.8752751365290555,0.8735223854632544,0.8770278875948566,,,,,,,,
23181,,,,0.15184534270000005,0.11810193319999995,0.18558875220000004,,,,,
23209,,,,0.1391915641,0.12021089630000004,0.15817223199999997,,,,,
23239,,,,0.14130052719999997,0.12442882249999998,0.15817223199999997,,,,,
23268,,,,,,,,0.33565877990000004,0.27078466430000003,0.40053289550000004,
23269,,,,0.14551845340000003,0.11599297009999998,0.17504393669999996,,,,,
23300,,,,0.15184534270000005,0.1328646749000001,0.1708260104999999,,,,,
23330,,,,0.18347978909999996,0.14973637960000008,0.21722319859999994,,,,,
23360,,,,0.2699472759,0.23620386640000002,0.3036906854,,0.41403198760000004,0.36213937369999993,0.46592460150000004,
23361,0.8810843677755978,0.8791124164872377,0.8830563190639581,,,,,,,,
