Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,CTX,Error low: CTX,Error high: CTX,Unnamed: 4,BSAP,Error low: BSAP,Error high: BSAP,Medication: Denosumab (mg)
9125,1.0,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,
22995,0.861151832460733,0.861151832460733,0.861151832460733,1.0,1.0,1.0,,1.0,1.0,1.0,6.0
23008,,,,0.3254756673,0.28669136559999997,0.364259969,,,,,
23024,0.871029737574065,0.8688845186962765,0.873174956443242,,,,,1.02216088272,0.9386588131,1.1056629523,
23026,,,,0.14256725579999996,0.1619566657,0.1619566657,,,,,
23059,,,,0.23990351889999995,0.2161724599,0.2636345779,,,,,
23085,,,,0.421183812,0.4125827421,0.42978488189999997,,,,,6.0
23086,0.8798202629617258,0.8768698429825006,0.8827706829323393,,,,,,,,
23087,,,,,,,,0.5324274568,0.5060510496999999,0.5588038638999999,
23117,,,,0.15657345950000012,0.14365814999999993,0.16948876899999998,,,,,
23149,,,,0.2172688359999999,0.1698670187000001,0.26467065320000005,,,,,
23175,,,,,,,,,,,6.0
23176,,,,0.35331265450000005,0.3296583418,0.3769669671,,,,,
23177,,,,,,,,0.46703659909999995,0.42748193970000004,0.5065912586000001,
23178,0.8840667205220525,0.8812950871510116,0.8868383538844817,,,,,,,,
23211,,,,0.2072315134999999,0.20719314030000002,0.20726988670000002,,,,,
23240,,,,0.19464511679999996,0.21616697810000007,0.21616697810000007,,,,,
23265,,,,,,,,,,,6.0
23267,,,,,,,,0.3730715374,0.3665094217,0.37963365309999997,
23273,,,,0.36307588290000004,0.36087216710000003,0.36527959869999993,,,,,
23299,,,,0.17595190560000007,0.16735631760000003,0.1845474935999999,,,,,
23331,,,,0.22588635150000003,0.22800235720000006,0.22800235720000006,,,,,
23360,0.8863014429227561,0.8841553422427142,0.8884475436027979,,,,,,,,
23361,,,,0.4395152191,0.43735535830000005,0.4416750798,,0.36924458430000007,0.3736543943,0.3736543943,
