Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,CTX,Error low: CTX,Error high: CTX,Unnamed: 4,BSAP,Error low: BSAP,Error high: BSAP,Medication: Denosumab (mg)
9125,1.0,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,
22995,0.861151832460733,0.861151832460733,0.861151832460733,1.0,1.0,1.0,,1.0,1.0,1.0,14.0
23008,,,,0.2500778884,0.22636327509999998,0.2737925017,,,,,
23024,,,,,,,,0.96501531776,0.94304587747,0.98698475806,
23025,0.8678120194848169,0.8676338942326283,0.8679901447456168,,,,,,,,
23026,,,,0.1447216347,0.14255629209999998,0.1468869773,,,,,
23056,,,,0.15153561170000007,0.1343170263000001,0.16875419710000006,,,,,
23085,,,,,,,,,,,14.0
23086,0.8736523453481215,0.872579405235535,0.8747252854693194,,,,,,,,
23088,,,,0.2165507097,0.20361347260000007,0.22948794669999995,,0.4950734376,0.4533124516,0.5368344236,
23117,,,,0.15871687460000006,0.12424133059999998,0.19319241860000003,,,,,
23147,,,,0.20001187740000004,0.17631370970000004,0.22371004510000003,,,,,
23175,,,,,,,,,,,14.0
23177,0.8753057357079455,0.8726230547398702,0.8779884166674095,,,,,,,,
23178,,,,0.14436531250000006,0.20900764269999994,0.20900764269999994,,0.37253417180000004,0.3373807927,0.40768755079999996,
23210,,,,0.2072150679000001,0.18996359119999995,0.22446654449999992,,,,,
23239,,,,0.1967885319,0.1989374289,0.1989374289,,,,,
23265,,,,,,,,,,,14.0
23268,,,,0.25099336240000003,0.22084850369999998,0.28113822099999997,,0.3532970509000001,0.32033578239999994,0.3862583193,
23298,,,,0.18024969960000004,0.17382493620000006,0.18667446310000002,,,,,
23330,,,,0.17846808859999996,0.20648049589999995,0.20648049589999995,,,,,
23360,,,,0.3877991622,0.42446197630000004,0.42446197630000004,,0.3648404607,0.3384612104,0.3912197110000001,
23361,0.8822794055429362,0.8797768339036482,0.8847819771908355,,,,,,,,
