Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,CTX,Error low: CTX,Error high: CTX,Unnamed: 4,BSAP,Error low: BSAP,Error high: BSAP,Medication: Denosumab (mg)
9125,1.0,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,
22995,0.861151832460733,0.861151832460733,0.861151832460733,1.0,1.0,1.0,,1.0,1.0,1.0,30.0
23007,,,,0.19836183149999997,0.18760090090000003,0.20912276210000003,,,,,
23025,0.8693314852253488,0.8682589860138892,0.8704039844368084,,,,,0.9606282534,0.8990956241,1.02216088272,
23026,,,,0.14041287690000004,0.11242239710000002,0.16840335670000006,,,,,
23056,,,,0.15368999049999998,0.12567210130000006,0.18170787970000002,,,,,
23085,,,,,,,,,,,30.0
23086,0.8758871779848711,0.8749049538883686,0.8768694020813738,,,,,0.435721546,0.3917684494,0.47967464260000003,
23088,,,,0.21870508860000004,0.19069268120000005,0.24671749590000003,,,,,
23118,,,,0.15011580469999997,0.12427422190000004,0.1759573875,,,,,
23149,,,,0.19142177129999993,0.17201591570000008,0.2108276268,,,,,
23175,,,,,,,,,,,30.0
23177,,,,0.2197576094999999,0.17885730210000006,0.2606579170000001,,0.3615423435999999,0.32197915460000004,0.40110553260000004,
23178,0.8795076619530722,0.876468069124624,0.8825472547815205,,,,,,,,
23208,,,,0.20504424330000004,0.1877927667,0.22229571999999986,,,,,
23238,,,,0.16661626380000005,0.1386477115,0.1945848161000001,,,,,
23265,,,,,,,,,,,30.0
23267,,,,0.20573496019999993,0.1755901016,0.23587981889999998,,,,,
23269,,,,,,,,0.33352540759999993,0.30055276629999994,0.36649804890000004,
23301,,,,0.1695161784,0.1350241887999999,0.204008168,,,,,
23330,,,,0.15908416059999997,0.13107175319999997,0.18709656789999995,,,,,
23358,,,,0.2843725303,0.23053498579999998,0.3382100748000001,,,,,
23359,,,,,,,,0.3428596476,0.29011820619999995,0.3956010889,
23361,0.8901457959515141,0.8871066440241928,0.8931849478788356,,,,,,,,
